MONTHS,type,CNT,year,mon
2006-01-01,Other Fire,26491,2006,01
2006-02-01,Other Fire,23969,2006,02
2006-03-01,Other Fire,29504,2006,03
2006-04-01,Other Fire,25398,2006,04
2006-05-01,Other Fire,21904,2006,05
2006-06-01,Other Fire,22453,2006,06
2006-07-01,Other Fire,25717,2006,07
2006-08-01,Other Fire,21659,2006,08
2006-09-01,Other Fire,18108,2006,09
2006-10-01,Other Fire,20292,2006,10
2006-11-01,Other Fire,20364,2006,11
2006-12-01,Other Fire,22722,2006,12
2007-01-01,Other Fire,23204,2007,01
2007-02-01,Other Fire,24809,2007,02
2007-03-01,Other Fire,28608,2007,03
2007-04-01,Other Fire,24220,2007,04
2007-05-01,Other Fire,24819,2007,05
2007-06-01,Other Fire,22679,2007,06
2007-07-01,Other Fire,23840,2007,07
2007-08-01,Other Fire,22708,2007,08
2007-09-01,Other Fire,20147,2007,09
2007-10-01,Other Fire,20995,2007,10
2007-11-01,Other Fire,21385,2007,11
2007-12-01,Other Fire,22568,2007,12
2008-01-01,Other Fire,28330,2008,01
2008-02-01,Other Fire,23764,2008,02
2008-03-01,Other Fire,27202,2008,03
2008-04-01,Other Fire,26283,2008,04
2008-05-01,Other Fire,23495,2008,05
2008-06-01,Other Fire,24897,2008,06
2008-07-01,Other Fire,25755,2008,07
2008-08-01,Other Fire,22019,2008,08
2008-09-01,Other Fire,20297,2008,09
2008-10-01,Other Fire,22071,2008,10
2008-11-01,Other Fire,23676,2008,11
2008-12-01,Other Fire,24428,2008,12
2009-01-01,Other Fire,29808,2009,01
2009-02-01,Other Fire,26900,2009,02
2009-03-01,Other Fire,31366,2009,03
2009-04-01,Other Fire,26904,2009,04
2009-05-01,Other Fire,22886,2009,05
2009-06-01,Other Fire,22190,2009,06
2009-07-01,Other Fire,24705,2009,07
2009-08-01,Other Fire,21408,2009,08
2009-09-01,Other Fire,18519,2009,09
2009-10-01,Other Fire,18875,2009,10
2009-11-01,Other Fire,21167,2009,11
2009-12-01,Other Fire,22791,2009,12
2010-01-01,Other Fire,27781,2010,01
2010-02-01,Other Fire,22665,2010,02
2010-03-01,Other Fire,29568,2010,03
2010-04-01,Other Fire,28646,2010,04
2010-05-01,Other Fire,24747,2010,05
2010-06-01,Other Fire,23508,2010,06
2010-07-01,Other Fire,27170,2010,07
2010-08-01,Other Fire,24795,2010,08
2010-09-01,Other Fire,24659,2010,09
2010-10-01,Other Fire,28389,2010,10
2010-11-01,Other Fire,26426,2010,11
2010-12-01,Other Fire,28506,2010,12
2011-01-01,Other Fire,29498,2011,01
2011-02-01,Other Fire,29023,2011,02
2011-03-01,Other Fire,29416,2011,03
2011-04-01,Other Fire,27506,2011,04
2011-05-01,Other Fire,25506,2011,05
2011-06-01,Other Fire,27718,2011,06
2011-07-01,Other Fire,29806,2011,07
2011-08-01,Other Fire,27023,2011,08
2011-09-01,Other Fire,23311,2011,09
2011-10-01,Other Fire,25018,2011,10
2011-11-01,Other Fire,23452,2011,11
2011-12-01,Other Fire,23778,2011,12
2012-01-01,Other Fire,4645,2012,01
2012-01-01,Outside Fires,5580,2012,01
2012-01-01,Structure Fires,15313,2012,01
2012-02-01,Other Fire,3965,2012,02
2012-02-01,Outside Fires,4353,2012,02
2012-02-01,Structure Fires,13004,2012,02
2012-03-01,Other Fire,4628,2012,03
2012-03-01,Outside Fires,7761,2012,03
2012-03-01,Structure Fires,13669,2012,03
2012-04-01,Other Fire,4495,2012,04
2012-04-01,Outside Fires,7226,2012,04
2012-04-01,Structure Fires,13492,2012,04
2012-05-01,Other Fire,4694,2012,05
2012-05-01,Outside Fires,5719,2012,05
2012-05-01,Structure Fires,12957,2012,05
2012-06-01,Other Fire,4795,2012,06
2012-06-01,Outside Fires,7611,2012,06
2012-06-01,Structure Fires,13034,2012,06
2012-07-01,Other Fire,5398,2012,07
2012-07-01,Outside Fires,10011,2012,07
2012-07-01,Structure Fires,14433,2012,07
2012-08-01,Other Fire,4510,2012,08
2012-08-01,Outside Fires,6085,2012,08
2012-08-01,Structure Fires,11998,2012,08
2012-09-01,Other Fire,3900,2012,09
2012-09-01,Outside Fires,4167,2012,09
2012-09-01,Structure Fires,10842,2012,09
2012-10-01,Other Fire,4223,2012,10
2012-10-01,Outside Fires,3845,2012,10
2012-10-01,Structure Fires,12383,2012,10
2012-11-01,Other Fire,4063,2012,11
2012-11-01,Outside Fires,4840,2012,11
2012-11-01,Structure Fires,13382,2012,11
2012-12-01,Other Fire,3841,2012,12
2012-12-01,Outside Fires,2861,2012,12
2012-12-01,Structure Fires,13055,2012,12
2013-01-01,Other Fire,4778,2013,01
2013-01-01,Outside Fires,3657,2013,01
2013-01-01,Structure Fires,16203,2013,01
2013-02-01,Other Fire,3931,2013,02
2013-02-01,Outside Fires,3328,2013,02
2013-02-01,Structure Fires,13890,2013,02
2013-03-01,Other Fire,4661,2013,03
2013-03-01,Outside Fires,6403,2013,03
2013-03-01,Structure Fires,15104,2013,03
2013-04-01,Other Fire,4418,2013,04
2013-04-01,Outside Fires,6454,2013,04
2013-04-01,Structure Fires,13899,2013,04
2013-05-01,Other Fire,4860,2013,05
2013-05-01,Outside Fires,5461,2013,05
2013-05-01,Structure Fires,13555,2013,05
2013-06-01,Other Fire,4792,2013,06
2013-06-01,Outside Fires,4125,2013,06
2013-06-01,Structure Fires,12134,2013,06
2013-07-01,Other Fire,5033,2013,07
2013-07-01,Outside Fires,5532,2013,07
2013-07-01,Structure Fires,12913,2013,07
2013-08-01,Other Fire,4670,2013,08
2013-08-01,Outside Fires,4289,2013,08
2013-08-01,Structure Fires,11755,2013,08
2013-09-01,Other Fire,4393,2013,09
2013-09-01,Outside Fires,4113,2013,09
2013-09-01,Structure Fires,11502,2013,09
2013-10-01,Other Fire,4503,2013,10
2013-10-01,Outside Fires,3438,2013,10
2013-10-01,Structure Fires,12137,2013,10
2013-11-01,Other Fire,4283,2013,11
2013-11-01,Outside Fires,4370,2013,11
2013-11-01,Structure Fires,14743,2013,11
2013-12-01,Other Fire,4384,2013,12
2013-12-01,Outside Fires,2960,2013,12
2013-12-01,Structure Fires,15688,2013,12
2014-01-01,Other Fire,3386,2014,01
2014-01-01,Outside Fires,4319,2014,01
2014-01-01,Structure Fires,10352,2014,01
2014-02-01,Other Fire,2802,2014,02
2014-02-01,Outside Fires,2942,2014,02
2014-02-01,Structure Fires,7921,2014,02
2014-03-01,Other Fire,2992,2014,03
2014-03-01,Outside Fires,5719,2014,03
2014-03-01,Structure Fires,8538,2014,03
2014-04-01,Other Fire,2880,2014,04
2014-04-01,Outside Fires,5246,2014,04
2014-04-01,Structure Fires,7629,2014,04
2014-05-01,Other Fire,3043,2014,05
2014-05-01,Outside Fires,3438,2014,05
2014-05-01,Structure Fires,7301,2014,05
2014-06-01,Other Fire,2888,2014,06
2014-06-01,Outside Fires,2310,2014,06
2014-06-01,Structure Fires,6849,2014,06
2014-07-01,Other Fire,3113,2014,07
2014-07-01,Outside Fires,2930,2014,07
2014-07-01,Structure Fires,7222,2014,07
2014-08-01,Other Fire,2946,2014,08
2014-08-01,Outside Fires,2230,2014,08
2014-08-01,Structure Fires,6362,2014,08
2014-09-01,Other Fire,2689,2014,09
2014-09-01,Outside Fires,1873,2014,09
2014-09-01,Structure Fires,6247,2014,09
2014-10-01,Other Fire,2782,2014,10
2014-10-01,Outside Fires,2051,2014,10
2014-10-01,Structure Fires,6275,2014,10
2014-11-01,Other Fire,2808,2014,11
2014-11-01,Outside Fires,2687,2014,11
2014-11-01,Structure Fires,7875,2014,11
2014-12-01,Other Fire,2502,2014,12
2014-12-01,Outside Fires,1721,2014,12
2014-12-01,Structure Fires,6966,2014,12
2015-01-01,Other Fire,4867,2015,01
2015-01-01,Outside Fires,4954,2015,01
2015-01-01,Structure Fires,17448,2015,01
2015-02-01,Other Fire,4700,2015,02
2015-02-01,Outside Fires,4786,2015,02
2015-02-01,Structure Fires,16638,2015,02
2015-03-01,Other Fire,4773,2015,03
2015-03-01,Outside Fires,6008,2015,03
2015-03-01,Structure Fires,14901,2015,03
2015-04-01,Other Fire,4996,2015,04
2015-04-01,Outside Fires,7254,2015,04
2015-04-01,Structure Fires,14016,2015,04
2015-05-01,Other Fire,4983,2015,05
2015-05-01,Outside Fires,6422,2015,05
2015-05-01,Structure Fires,13806,2015,05
2015-06-01,Other Fire,4888,2015,06
2015-06-01,Outside Fires,4336,2015,06
2015-06-01,Structure Fires,12748,2015,06
2015-07-01,Other Fire,5254,2015,07
2015-07-01,Outside Fires,5668,2015,07
2015-07-01,Structure Fires,13276,2015,07
2015-08-01,Other Fire,4972,2015,08
2015-08-01,Outside Fires,5704,2015,08
2015-08-01,Structure Fires,13042,2015,08
2015-09-01,Other Fire,4689,2015,09
2015-09-01,Outside Fires,4681,2015,09
2015-09-01,Structure Fires,12027,2015,09
2015-10-01,Other Fire,4991,2015,10
2015-10-01,Outside Fires,5505,2015,10
2015-10-01,Structure Fires,13273,2015,10
2015-11-01,Other Fire,4497,2015,11
2015-11-01,Outside Fires,4164,2015,11
2015-11-01,Structure Fires,13606,2015,11
2015-12-01,Other Fire,4161,2015,12
2015-12-01,Outside Fires,2535,2015,12
2015-12-01,Structure Fires,13119,2015,12
